iter	RMSE
133	5.071026638
134	5.066484888
135	5.061911029
136	5.054718946
137	5.049088927
138	5.044444894
139	5.038620118
140	5.034345498
141	5.030705907
142	5.027886637
143	5.024332053
144	5.018681158
145	5.013828929
146	5.009750913
147	5.00590758
148	5.002696437
149	4.998890179
150	4.993787388
151	4.991208345
152	4.987633265
153	4.984144975
154	4.978839573
155	4.976186741
156	4.973774232
157	4.968391582
158	4.962457451
159	4.958940348
160	4.954090023
161	4.950073376
162	4.946175844
163	4.942763218
164	4.939522258
165	4.936018319
166	4.930847228
167	4.926625931
168	4.922058563
169	4.918277814
170	4.915032474
171	4.910498514
172	4.905620088
173	4.904809976
174	4.899529272
175	4.896752466
176	4.893050926
177	4.89056401
178	4.887259323
179	4.884490731
180	4.880082739
181	4.876255167
182	4.871744223
183	4.867048245
184	4.861312929
185	4.858690368
186	4.854340914
187	4.854139879
188	4.849379396
189	4.846019206
190	4.84515532
191	4.843132504
192	4.836573093
193	4.831670232
194	4.830199455
195	4.824885218
196	4.823860431
197	4.820416188
198	4.818615817
199	4.81595132
200	4.813931416
201	4.809620479
202	4.805952748
203	4.80343276
204	4.80101039
205	4.799354649
206	4.797035184
207	4.790832214
208	4.785954519
209	4.780819879
210	4.778733474
211	4.775048785
212	4.772626873
213	4.768305108
214	4.766590038
215	4.761673213
216	4.757617886
217	4.753930585
218	4.752070522
219	4.74966493
220	4.749097514
221	4.743454716
222	4.73892874
223	4.736893422
224	4.736769192
225	4.731808362
226	4.729458175
227	4.72658134
228	4.721798876
229	4.718261753
230	4.715777415
231	4.713595268
232	4.709106354
233	4.706129998
234	4.700994293
235	4.699514096
236	4.697825329
237	4.69602014
238	4.692416494
239	4.688509341
240	4.685445663
241	4.680836093
242	4.67598193
243	4.671989932
244	4.663379036
245	4.661962606
246	4.660884924
247	4.660519536
248	4.659668026
249	4.657579999
250	4.657209904
251	4.654912199
252	4.652672763
253	4.651578216
254	4.649674782
255	4.640807341
256	4.640342369
257	4.639743584
258	4.639400755
259	4.636179124
260	4.634625966
261	4.630699036
262	4.62801741
263	4.62078693
264	4.618667399
265	4.617018347
266	4.614440999
267	4.61043182
268	4.607226222
269	4.603524446
270	4.600934638
271	4.595625349
272	4.593138237
273	4.590691595
274	4.588755691
275	4.584317534
276	4.58177636
277	4.58080505
278	4.57945624
279	4.577582444
280	4.571375205
281	4.568815126
282	4.562207789
283	4.556353265
284	4.55592907
285	4.5482766
286	4.546519832
287	4.54555267
288	4.541088778
289	4.538220765
290	4.533663107
291	4.531707603
292	4.529836526
293	4.529178866
294	4.525563552
295	4.522403963
296	4.518403358
297	4.514226862
298	4.513581406
299	4.51202594
300	4.50682493
301	4.500714258
302	4.497435465
303	4.490457939
304	4.486477429
305	4.484437691
306	4.477282234
307	4.47422506
308	4.471915269
309	4.468913721
310	4.46659115
311	4.465865486
312	4.465245122
313	4.464084297
314	4.462704319
315	4.462370014
316	4.455608312
317	4.450662629
318	4.447659028
319	4.444695626
320	4.442893515
321	4.438133855
322	4.436595007
323	4.433496139
324	4.43082017
325	4.42667924
326	4.423877193
327	4.422222982
328	4.418444561
329	4.417837026
330	4.412529865
331	4.412402854
332	4.411659854
333	4.408722112
334	4.40490663
335	4.404365357
336	4.397559817
337	4.393854891
338	4.390596066
339	4.389011805
340	4.385482636
341	4.381444211
342	4.378627531
343	4.377348295
344	4.373722065
345	4.37317607
346	4.367292022
347	4.36642305
348	4.363437547
349	4.362918321
350	4.357400779
351	4.353771897
352	4.348819273
353	4.345742095
354	4.339407605
355	4.333801588
356	4.330666337
357	4.327938918
358	4.323384653
359	4.320804076
360	4.315704995
361	4.313802356
362	4.312625486
363	4.312434745
364	4.307601392
365	4.305317941
366	4.303884202
367	4.300012823
368	4.299495696
369	4.298507576
370	4.2954502
371	4.291755833
372	4.287937419
373	4.284615632
374	4.281454841
375	4.276091246
376	4.275912678
377	4.275420725
378	4.270765764
379	4.26744191
380	4.264088724
381	4.259529039
382	4.255922467
383	4.252760167
384	4.248259096
385	4.246102466
386	4.244619915
387	4.242173372
388	4.240630664
389	4.237196883
390	4.234202847
391	4.232811959
392	4.230805933
393	4.230641793
394	4.228229467
395	4.226992532
396	4.225951188
397	4.22304439
398	4.21957394
399	4.216626266
400	4.214165098
401	4.213036679
402	4.211130141
403	4.208446006
404	4.206926945
405	4.206763108
406	4.201094785
407	4.197602709
408	4.196641581
409	4.196465959
410	4.194114868
411	4.193953194
412	4.189039805
413	4.187297141
414	4.185692369
415	4.18383956
416	4.179586328
417	4.178508881
418	4.176802958
419	4.174270245
420	4.169230672
421	4.165741357
422	4.157488525
423	4.156201819
424	4.155787158
425	4.153236212
426	4.151904513
427	4.148849006
428	4.145860749
429	4.140322421
430	4.139444012
431	4.136663468
432	4.132649465
433	4.129542914
434	4.125457499
435	4.12323137
436	4.123096262
437	4.120268961
438	4.118052447
439	4.115371275
440	4.11330929
441	4.110501324
442	4.108516336
443	4.10353
444	4.102449573
445	4.100236609
446	4.096324199
447	4.091395967
448	4.091207983
449	4.088494418
450	4.088104805
451	4.086760601
452	4.085019721
453	4.082741455
454	4.082654883
455	4.078326224
456	4.07824012
457	4.077293907
458	4.072603291
459	4.070054644
460	4.069424012
461	4.066257884
462	4.064961462
463	4.061075728
464	4.059030491
465	4.055328327
466	4.055207339
467	4.053020516
468	4.051084309
469	4.050800429
470	4.047851877
471	4.043297765
472	4.040310724
473	4.037993056
474	4.036241256
475	4.032389148
476	4.028743421
477	4.027490243
478	4.025158633
479	4.024037954
480	4.021279605
481	4.020228528
482	4.019637345
483	4.016297939
484	4.015043365
485	4.012128743
486	4.007476987
487	4.003526558
488	4.003393033
489	3.99842325
490	3.997692412
491	3.99085897
492	3.989939651
493	3.988058736
494	3.985348684
495	3.984027582
496	3.982593506
497	3.979082395
498	3.974794594
499	3.97384902
500	3.966605769
501	3.965883789
502	3.962999589
503	3.961227042
504	3.95709296
505	3.95695826
506	3.955060633
507	3.953066432
508	3.952780969
509	3.950742863
510	3.948819291
511	3.947301652
512	3.944241983
513	3.942593393
514	3.94219232
515	3.940265599
516	3.93991133
517	3.935924239
518	3.931823277
519	3.927479286
520	3.924930854
521	3.922078265
522	3.921092436
523	3.919890639
524	3.91359439
525	3.911091058
526	3.909863151
527	3.906973519
528	3.906904041
529	3.905778764
530	3.902520964
531	3.900183221
532	3.899445727
533	3.897676052
534	3.89716893
535	3.894566675
536	3.89339549
537	3.892075232
538	3.889306601
539	3.889203244
540	3.886591651
541	3.886151008
542	3.884912202
543	3.882272967
544	3.876846449
545	3.872384054
546	3.867691651
547	3.866739643
548	3.864146597
549	3.862367755
550	3.858316086
551	3.853494031
552	3.851347438
553	3.847048182
554	3.843265673
555	3.842842442
556	3.842134319
557	3.839654058
558	3.837131726
559	3.834668406
560	3.833264903
561	3.830007834
562	3.825867821
563	3.822816189
564	3.821828871
565	3.820717492
566	3.820005454
567	3.819918338
568	3.815111848
569	3.812768013
570	3.8116368
571	3.811135095
572	3.807206764
573	3.8067934
574	3.804583834
575	3.802653233
576	3.797423777
577	3.794842555
578	3.794081431
579	3.788010072
580	3.787535883
581	3.784228011
582	3.781224644
583	3.780491067
584	3.77652571
585	3.773720745
586	3.769915858
587	3.768526773
588	3.766840132
589	3.764988329
590	3.764578635
591	3.758557933
592	3.757290706
593	3.754599002
594	3.753171254
595	3.751785845
596	3.7506753
597	3.748968875
598	3.748474311
599	3.744466858
600	3.742111518
601	3.741429919
602	3.736639098
603	3.735091852
604	3.735030779
605	3.734271831
606	3.733560798
607	3.728149467
608	3.725765182
609	3.725040292
610	3.720902621
611	3.719709502
612	3.716665396
613	3.715113036
614	3.714323581
615	3.710059326
616	3.707907106
617	3.707478547
618	3.706197203
619	3.702984967
620	3.701737986
621	3.701051161
622	3.698983797
623	3.696362426
624	3.696061149
625	3.695794014
626	3.693529254
627	3.69278547
628	3.690655899
629	3.688818749
630	3.686790052
631	3.685935421
632	3.68237774
633	3.682064052
634	3.67933472
635	3.678852729
636	3.67662712
637	3.673217291
638	3.669959763
639	3.66816144
640	3.665975326
641	3.66569407
642	3.664887731
643	3.663893754
644	3.66145783
645	3.65979063
646	3.656051772
647	3.654317325
648	3.650769576
649	3.650185605
650	3.648242013
651	3.645844776
652	3.643913711
653	3.64301857
654	3.641453115
655	3.640064079
656	3.638233458
657	3.63729018
658	3.637011953
659	3.63655824
660	3.636461907
661	3.632306224
662	3.631599647
663	3.630989208
664	3.627086642
665	3.62610343
666	3.624229354
667	3.621661815
668	3.618024259
669	3.616282369
670	3.614152669
671	3.609705405
672	3.608123343
673	3.608070087
674	3.607541557
675	3.606444145
676	3.603649956
677	3.601477615
678	3.600544246
679	3.60010935
680	3.598310372
681	3.595091266
682	3.590347817
683	3.59027722
684	3.589149907
685	3.588500297
686	3.585502591
687	3.583454373
688	3.58136181
689	3.579395843
690	3.577073087
691	3.576671251
692	3.575619745
693	3.572185748
694	3.571856601
695	3.567601415
696	3.567550369
697	3.56658544
698	3.564508515
699	3.564127461
700	3.563505388
701	3.562092767
702	3.561310421
703	3.559211076
704	3.556427137
705	3.552994507
706	3.551069302
707	3.549829934
708	3.546757081
709	3.545918476
710	3.544489812
711	3.543802263
712	3.543687695
713	3.539146384
714	3.536303491
715	3.533608148
716	3.53201937
717	3.528949526
718	3.52792351
719	3.525388129
720	3.524662582
721	3.52276859
722	3.520621308
723	3.519759482
724	3.517696106
725	3.515892014
726	3.512492711
727	3.512424927
728	3.511091056
729	3.508747558
730	3.504878262
731	3.501523027
732	3.500300943
733	3.499581359
734	3.497947773
735	3.497843588
736	3.496267652
737	3.494892754
738	3.493626792
739	3.48987714
740	3.48677618
741	3.484227197
742	3.482811073
743	3.482479636
744	3.481829908
745	3.481644571
746	3.481010466
747	3.477290684
748	3.475554574
749	3.472492561
750	3.470425557
751	3.468927121
752	3.468816094
753	3.46715115
754	3.466520766
755	3.463654603
756	3.462131182
757	3.459081801
758	3.45853184
759	3.45850112
760	3.457766392
761	3.45744537
762	3.456773072
763	3.455183426
764	3.454167598
765	3.452399246
766	3.447826025
767	3.446056505
768	3.442353527
769	3.438983203
770	3.437370627
771	3.436455855
772	3.436104247
773	3.433243861
774	3.432602682
775	3.432500218
776	3.428463847
777	3.427285977
778	3.427244215
779	3.425811072
780	3.423841565
781	3.421350654
782	3.420737266
783	3.417865994
784	3.417666937
785	3.417154663
786	3.415964368
787	3.414899424
788	3.413152143
789	3.412416198
790	3.41157178
791	3.407822224
792	3.406767473
793	3.406378383
794	3.405484105
795	3.404961626
796	3.40426855
797	3.403808019
798	3.400873319
799	3.398486997
800	3.396485235
801	3.394616514
802	3.394529483
803	3.393348668
804	3.392990331
805	3.392574569
806	3.391452005
807	3.38990505
808	3.38795349
809	3.386876855
810	3.38346685
811	3.382199703
812	3.381117073
813	3.380646527
814	3.378946974
815	3.375107649
816	3.375052617
817	3.374777083
818	3.372084597
819	3.370257472
820	3.367882444
821	3.367635097
822	3.367395894
823	3.366650665
824	3.365976158
825	3.365929311
826	3.365736116
827	3.363184107
828	3.361660558
829	3.358914261
830	3.358660657
831	3.356018996
832	3.355180189
833	3.353693468
834	3.35057054
835	3.347597895
836	3.344375052
837	3.342808866
838	3.342206883
839	3.341721982
840	3.341273909
841	3.339841756
842	3.339523759
843	3.335961575
844	3.335159501
845	3.332913666
846	3.331723311
847	3.330175952
848	3.329127716
849	3.327508124
850	3.326870373
851	3.326173706
852	3.325941335
853	3.324342369
854	3.323214191
855	3.321470276
856	3.320596237
857	3.319131845
858	3.318868908
859	3.313753547
860	3.311210563
861	3.308020055
862	3.30729697
863	3.306591699
864	3.304066098
865	3.301748991
866	3.298809813
867	3.29857778
868	3.295745139
869	3.295568202
870	3.294593995
871	3.294012105
872	3.289376296
873	3.286942973
874	3.286574625
875	3.285319655
876	3.283620682
877	3.282170769
878	3.281298646
879	3.281103198
880	3.278803327
881	3.275938672
882	3.275146066
883	3.27316252
884	3.270888804
885	3.268829464
886	3.267354499
887	3.265844221
888	3.263668005
889	3.261979791
890	3.25860972
891	3.257462869
892	3.254639683
893	3.252643831
894	3.252227779
895	3.249832792
896	3.248814584
897	3.247623749
898	3.246346
899	3.246006663
900	3.243910865
901	3.242807464
902	3.242642921
903	3.240274761
904	3.239183849
905	3.237108549
906	3.237078022
907	3.234692247
908	3.233532318
909	3.233022035
910	3.23265166
911	3.232367332
912	3.230883317
913	3.229512316
914	3.227486125
915	3.226955082
916	3.226440958
917	3.225457616
918	3.223202541
919	3.221293411
920	3.220773651
921	3.220356372
922	3.219188577
923	3.218348883
924	3.218047762
925	3.216639357
926	3.215236031
927	3.214947137
928	3.214279499
929	3.214206837
930	3.211917601
931	3.20866214
932	3.207074954
933	3.20536132
934	3.202929079
935	3.201669743
936	3.199971915
937	3.199768457
938	3.196808739
939	3.195078316
940	3.192973473
941	3.191229493
942	3.188251307
943	3.188223157
944	3.188019827
945	3.186043948
946	3.185148372
947	3.184018135
948	3.181682915
949	3.181005193
950	3.180199469
951	3.179858582
952	3.177869737
953	3.177649701
954	3.17540188
955	3.173959683
956	3.171621632
957	3.170025906
958	3.166366502
959	3.16616216
960	3.164689549
961	3.163790289
962	3.163495506
963	3.163329941
964	3.162222069
965	3.161389919
966	3.161248334
967	3.16037474
968	3.159331138
969	3.15632831
970	3.155801728
971	3.15101795
972	3.149125856
973	3.149047312
974	3.148175071
975	3.148072739
976	3.147599611
977	3.146812196
978	3.146626094
979	3.146250911
980	3.143609952
981	3.141538576
982	3.140349084
983	3.138814134
984	3.13676003
985	3.136088847
986	3.135513287
987	3.131827249
988	3.131468257
989	3.130998627
990	3.130066532
991	3.129814695
992	3.129050847
993	3.128464022
994	3.127880294
995	3.126908007
996	3.126099405
997	3.12490262
998	3.121802893
999	3.121727154
